Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
InputWindowChange,2021-08-17 12:56:44.5174,12467,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,7,0.0000,0.0000,Running,4.1462,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:56:46.0147,12533,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7655,8,(0.768 0.800 0.784 0.782 0.766 0.756 0.772 0.770 ),NULL
Rest,2021-08-17 12:56:46.0336,12534,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7018,8,(0.768 0.800 0.784 0.782 0.766 0.756 0.772 0.770 ),NULL
InputWindowChange,2021-08-17 12:57:01.0354,13198,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,7,0.0000,1.5008,Running,4.4702,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:57:03.7403,13322,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8732,9,(0.823 0.828 0.837 0.873 0.774 0.808 0.829 0.817 ),NULL
Rest,2021-08-17 12:57:04.1387,13340,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8611,9,(0.823 0.828 0.837 0.873 0.774 0.808 0.829 0.817 ),NULL
InputWindowChange,2021-08-17 12:57:18.7493,13995,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,7,0.0000,4.2101,Running,3.6874,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:57:20.5709,14075,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,7,0.0306,0.0000,Running,3.6874,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:57:20.5734,14075,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,7,0.0306,0.0000,Running,3.6874,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:57:35.5481,14740,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,8,0.0000,0.0000,Running,1.8278,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
