Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
InputWindowChange,2021-08-17 12:41:28.5969,14942,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,13,0.0000,3.4633,Running,2.5309,30,0.0000,0,0.0000,0,0.4333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:41:31.1496,15046,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,13,0.0035,0.0000,Running,2.5309,30,0.0000,0,0.0000,0,0.4333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:41:31.1546,15046,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,13,0.0035,0.0000,Running,2.5309,30,0.0000,0,0.0000,0,0.4667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:41:46.1384,15656,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,14,0.0000,0.0000,Running,4.2802,30,0.0000,0,0.0000,0,0.4667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:41:52.1554,15880,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,14,0.0040,0.0000,Running,4.2802,30,0.0000,0,0.0000,0,0.4667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:41:52.1604,15880,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,14,0.0040,0.0000,Running,4.2802,30,0.0000,0,0.0000,0,0.5000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:42:07.1411,16468,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,15,0.0000,0.0000,Running,1.1918,30,0.0000,0,0.0000,0,0.5000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:42:13.1653,16723,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,15,0.0194,0.0000,Running,1.1918,30,0.0000,0,0.0000,0,0.5000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:42:13.1668,16723,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,15,0.0194,0.0000,Running,1.1918,30,0.0000,0,0.0000,0,0.5333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:42:28.1747,17349,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,16,0.0000,0.0000,Running,4.2236,30,0.0000,0,0.0000,0,0.5333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:42:31.2407,17479,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7683,4,(0.782 0.791 0.781 0.794 0.790 0.768 0.744 0.759 )
Rest,2021-08-17 12:42:31.2645,17480,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7717,4,(0.782 0.791 0.781 0.794 0.790 0.768 0.744 0.759 )
InputWindowChange,2021-08-17 12:42:46.2521,18101,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,16,0.0000,3.0678,Running,2.8701,30,0.0000,0,0.0000,0,0.5333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:42:49.1778,18220,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,16,0.0038,0.0000,Running,2.8701,30,0.0000,0,0.0000,0,0.5333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:42:49.1852,18220,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,16,0.0038,0.0000,Running,2.8701,30,0.0000,0,0.0000,0,0.5667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:43:04.1959,18842,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,17,0.0000,0.0000,Running,4.7737,30,0.0000,0,0.0000,0,0.5667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:43:10.2244,19094,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,17,0.0131,0.0000,Running,4.7737,30,0.0000,0,0.0000,0,0.5667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:43:10.2260,19094,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,17,0.0131,0.0000,Running,4.7737,30,0.0000,0,0.0000,0,0.6000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:43:25.2145,19722,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,18,0.0000,0.0000,Running,3.5996,30,0.0000,0,0.0000,0,0.6000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:43:31.2118,19971,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,18,0.0084,0.0000,Running,3.5996,30,0.0000,0,0.0000,0,0.6000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:43:31.2176,19971,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,18,0.0084,0.0000,Running,3.5996,30,0.0000,0,0.0000,0,0.6333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:43:46.2271,20600,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,19,0.0000,0.0000,Running,2.0280,30,0.0000,0,0.0000,0,0.6333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:43:52.2267,20845,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,19,0.0020,0.0000,Running,2.0280,30,0.0000,0,0.0000,0,0.6333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:43:52.2277,20845,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,19,0.0020,0.0000,Running,2.0280,30,0.0000,0,0.0000,0,0.6667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:44:07.2364,21446,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,20,0.0000,0.0000,Running,2.4922,30,0.0000,0,0.0000,0,0.6667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:44:13.2497,21686,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,20,0.0071,0.0000,Running,2.4922,30,0.0000,0,0.0000,0,0.6667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:44:13.2562,21686,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,20,0.0071,0.0000,Running,2.4922,30,0.0000,0,0.0000,0,0.7000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:44:28.2337,22296,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,21,0.0000,0.0000,Running,1.1292,30,0.0000,0,0.0000,0,0.7000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:44:34.2550,22549,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,21,0.0050,0.0000,Running,1.1292,30,0.0000,0,0.0000,0,0.7000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:44:34.2565,22549,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,21,0.0050,0.0000,Running,1.1292,30,0.0000,0,0.0000,0,0.7333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:44:49.2430,23181,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,22,0.0000,0.0000,Running,1.4414,30,0.0000,0,0.0000,0,0.7333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:44:55.2620,23426,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,22,0.0210,0.0000,Running,1.4414,30,0.0000,0,0.0000,0,0.7333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:44:55.2640,23426,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,22,0.0210,0.0000,Running,1.4414,30,0.0000,0,0.0000,0,0.7667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:45:10.2612,24038,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,23,0.0000,0.0000,Running,1.6663,30,0.0000,0,0.0000,0,0.7667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:45:14.5668,24216,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7743,5,(0.803 0.778 0.774 0.776 0.801 0.812 0.816 0.810 )
Rest,2021-08-17 12:45:14.5934,24217,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7574,5,(0.803 0.778 0.774 0.776 0.801 0.812 0.816 0.810 )
InputWindowChange,2021-08-17 12:45:29.5760,24831,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,23,0.0000,4.3051,Running,4.0887,30,0.0000,0,0.0000,0,0.7667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
