Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
Rest,2021-08-16 15:43:25.4978,13257,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8634,7,(0.748 0.793 0.800 0.856 0.848 0.854 0.861 0.717 )
InputWindowChange,2021-08-16 15:43:40.4763,13939,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,8,0.0000,4.8286,Running,3.2076,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:43:41.6692,13994,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,8,0.0207,0.0000,Running,3.2076,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:43:41.6702,13994,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,8,0.0207,0.0000,Running,3.2076,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:43:56.6608,14684,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,9,0.0000,0.0000,Running,4.3024,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:44:02.6615,14959,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,9,0.0032,0.0000,Running,4.3024,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:44:02.6648,14959,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,9,0.0032,0.0000,Running,4.3024,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:44:17.6669,15652,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,10,0.0000,0.0000,Running,2.3913,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:44:19.6549,15744,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8632,8,(0.723 0.722 0.781 0.800 0.811 0.826 0.847 0.863 )
Rest,2021-08-16 15:44:19.6781,15745,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8739,8,(0.723 0.722 0.781 0.800 0.811 0.826 0.847 0.863 )
InputWindowChange,2021-08-16 15:44:34.6665,16426,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,10,0.0000,1.9882,Running,2.2212,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:44:34.9812,16441,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8261,9,(0.826 0.722 0.781 0.800 0.811 0.826 0.847 0.863 )
Rest,2021-08-16 15:44:35.0065,16442,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8245,9,(0.826 0.722 0.781 0.800 0.811 0.826 0.847 0.863 )
InputWindowChange,2021-08-16 15:44:49.9896,17138,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,10,0.0000,2.2964,Running,4.1230,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:44:53.7017,17309,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,10,0.0158,0.0000,Running,4.1230,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:44:53.7027,17309,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,10,0.0158,0.0000,Running,4.1230,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:45:08.7096,18000,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,11,0.0000,0.0000,Running,1.3144,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:45:09.1397,18020,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7921,10,(0.815 0.807 0.796 0.792 0.792 0.787 0.835 0.839 )
Rest,2021-08-16 15:45:09.1654,18021,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7758,10,(0.815 0.807 0.796 0.792 0.792 0.787 0.835 0.839 )
InputWindowChange,2021-08-16 15:45:24.1631,18707,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,11,0.0000,0.4325,Running,3.1275,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:45:25.4048,18764,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8421,11,(0.798 0.797 0.807 0.816 0.830 0.842 0.777 0.790 )
